,order_id,order_line,order_date,product_id,quantity,price,total_price,model,description,bikeshop_name,location,terrain,terrain2,frame_material
16,6,3,2011-01-11,87,1,2340,2340,Habit 5,Mountain - Trail - Aluminum,Phoenix Bi-peds,"Phoenix, AZ",Mountain,Trail,Aluminum
17,6,4,2011-01-11,31,1,2240,2240,Synapse Carbon 105,Road - Endurance Road - Carbon,Phoenix Bi-peds,"Phoenix, AZ",Road,Endurance Road,Carbon
18,7,1,2011-01-12,2,1,10660,10660,Supersix Evo Hi-Mod Team,Road - Elite Road - Carbon,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon
19,7,2,2011-01-12,15,1,2240,2240,CAAD12 Ultegra,Road - Elite Road - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Aluminum
20,7,3,2011-01-12,10,1,1840,1840,Supersix Evo Tiagra,Road - Elite Road - Carbon,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon
21,7,4,2011-01-12,65,1,3200,3200,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum
22,7,5,2011-01-12,87,1,2340,2340,Habit 5,Mountain - Trail - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Trail,Aluminum
23,7,6,2011-01-12,55,1,12790,12790,Scalpel-Si Black Inc.,Mountain - Cross Country Race - Carbon,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon
24,7,7,2011-01-12,7,1,3200,3200,Supersix Evo Ultegra 3,Road - Elite Road - Carbon,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon
25,7,8,2011-01-12,67,1,9060,9060,F-Si Hi-Mod Team,Mountain - Cross Country Race - Carbon,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon
26,7,9,2011-01-12,61,1,3200,3200,Scalpel-Si 5,Mountain - Cross Country Race - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum
27,7,10,2011-01-12,18,2,1410,2820,CAAD8 105,Road - Elite Road - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Aluminum
28,7,11,2011-01-12,96,1,480,480,Catalyst 3,Mountain - Sport - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum
29,7,12,2011-01-12,42,1,1950,1950,Slice 105,Road - Triathalon - Carbon,Minneapolis Bike Shop,"Minneapolis, MN",Road,Triathalon,Carbon
30,7,13,2011-01-12,56,1,9060,9060,Scalpel-Si Race,Mountain - Cross Country Race - Carbon,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon
31,7,14,2011-01-12,93,2,815,1630,Trail 5,Mountain - Sport - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum
32,8,1,2011-01-12,35,1,1250,1250,Synapse Disc Tiagra,Road - Endurance Road - Aluminum,Phoenix Bi-peds,"Phoenix, AZ",Road,Endurance Road,Aluminum
33,8,2,2011-01-12,96,3,480,1440,Catalyst 3,Mountain - Sport - Aluminum,Phoenix Bi-peds,"Phoenix, AZ",Mountain,Sport,Aluminum
34,9,1,2011-01-17,29,1,2660,2660,Synapse Carbon Ultegra 4,Road - Endurance Road - Carbon,New Orleans Velocipedes,"New Orleans, LA",Road,Endurance Road,Carbon
35,9,2,2011-01-17,13,2,3200,6400,CAAD12 Red,Road - Elite Road - Aluminum,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum
36,9,3,2011-01-17,18,1,1410,1410,CAAD8 105,Road - Elite Road - Aluminum,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum
37,9,4,2011-01-17,16,1,1950,1950,CAAD12 Disc 105,Road - Elite Road - Aluminum,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum
38,9,5,2011-01-17,36,5,1030,5150,Synapse Sora,Road - Endurance Road - Aluminum,New Orleans Velocipedes,"New Orleans, LA",Road,Endurance Road,Aluminum
39,10,1,2011-01-17,19,1,1250,1250,CAAD8 Tiagra,Road - Elite Road - Aluminum,Portland Bi-peds,"Portland, OR",Road,Elite Road,Aluminum
40,11,1,2011-01-18,11,1,5860,5860,CAAD12 Black Inc,Road - Elite Road - Aluminum,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Aluminum
41,11,2,2011-01-18,13,2,3200,6400,CAAD12 Red,Road - Elite Road - Aluminum,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Aluminum
42,11,3,2011-01-18,10,1,1840,1840,Supersix Evo Tiagra,Road - Elite Road - Carbon,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Carbon
43,11,4,2011-01-18,39,1,4500,4500,Slice Hi-Mod Dura Ace D12,Road - Triathalon - Carbon,San Francisco Cruisers,"San Francisco, CA",Road,Triathalon,Carbon
44,11,5,2011-01-18,23,1,7460,7460,Synapse Hi-Mod Disc Red,Road - Endurance Road - Carbon,San Francisco Cruisers,"San Francisco, CA",Road,Endurance Road,Carbon
45,11,6,2011-01-18,65,1,3200,3200,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,San Francisco Cruisers,"San Francisco, CA",Mountain,Cross Country Race,Aluminum
46,11,7,2011-01-18,43,1,3500,3500,SuperX Hi-Mod CX1,Road - Cyclocross - Carbon,San Francisco Cruisers,"San Francisco, CA",Road,Cyclocross,Carbon
47,12,1,2011-01-20,27,2,3730,7460,Synapse Carbon Disc Ultegra,Road - Endurance Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon
48,12,2,2011-01-20,49,1,3840,3840,Jekyll Carbon 3,Mountain - Over Mountain - Carbon,Louisville Race Equipment,"Louisville, KY",Mountain,Over Mountain,Carbon
49,12,3,2011-01-20,67,1,9060,9060,F-Si Hi-Mod Team,Mountain - Cross Country Race - Carbon,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon
50,12,4,2011-01-20,11,1,5860,5860,CAAD12 Black Inc,Road - Elite Road - Aluminum,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum
51,12,5,2011-01-20,26,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road - Endurance Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon
52,12,6,2011-01-20,39,1,4500,4500,Slice Hi-Mod Dura Ace D12,Road - Triathalon - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Triathalon,Carbon
53,12,7,2011-01-20,28,1,3200,3200,Synapse Carbon Ultegra 3,Road - Endurance Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon
54,12,8,2011-01-20,32,1,1840,1840,Syapse Carbon Tiagra,Road - Endurance Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon
55,12,9,2011-01-20,22,1,9590,9590,Synapse Hi-Mod Disc Black Inc.,Road - Endurance Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon
56,12,10,2011-01-20,13,1,3200,3200,CAAD12 Red,Road - Elite Road - Aluminum,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum
57,12,11,2011-01-20,29,1,2660,2660,Synapse Carbon Ultegra 4,Road - Endurance Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon
58,12,12,2011-01-20,63,1,5330,5330,Scalpel 29 Carbon 2,Mountain - Cross Country Race - Carbon,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon
59,12,13,2011-01-20,31,1,2240,2240,Synapse Carbon 105,Road - Endurance Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon
60,12,14,2011-01-20,15,1,2240,2240,CAAD12 Ultegra,Road - Elite Road - Aluminum,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum
61,12,15,2011-01-20,40,1,3200,3200,Slice Ultegra D12,Road - Triathalon - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Triathalon,Carbon
62,12,16,2011-01-20,10,3,1840,5520,Supersix Evo Tiagra,Road - Elite Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon
63,12,17,2011-01-20,37,1,870,870,Synapse Claris,Road - Endurance Road - Aluminum,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Aluminum
64,12,18,2011-01-20,8,1,2660,2660,Supersix Evo Ultegra 4,Road - Elite Road - Carbon,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon
65,12,19,2011-01-20,57,1,7460,7460,Scalpel-Si Hi-Mod 1,Mountain - Cross Country Race - Carbon,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon
66,13,1,2011-01-20,4,1,5330,5330,Supersix Evo Hi-Mod Dura Ace 2,Road - Elite Road - Carbon,Nashville Cruisers,"Nashville, TN",Road,Elite Road,Carbon
67,13,2,2011-01-20,18,1,1410,1410,CAAD8 105,Road - Elite Road - Aluminum,Nashville Cruisers,"Nashville, TN",Road,Elite Road,Aluminum
68,14,1,2011-01-24,87,1,2340,2340,Habit 5,Mountain - Trail - Aluminum,Albuquerque Cycles,"Albuquerque, NM",Mountain,Trail,Aluminum
69,14,2,2011-01-24,76,1,2770,2770,Beast of the East 1,Mountain - Trail - Aluminum,Albuquerque Cycles,"Albuquerque, NM",Mountain,Trail,Aluminum
70,14,3,2011-01-24,69,1,4800,4800,F-Si Carbon 2,Mountain - Cross Country Race - Carbon,Albuquerque Cycles,"Albuquerque, NM",Mountain,Cross Country Race,Carbon
71,15,1,2011-01-25,3,1,7990,7990,Supersix Evo Hi-Mod Dura Ace 1,Road - Elite Road - Carbon,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Carbon
72,15,2,2011-01-25,35,1,1250,1250,Synapse Disc Tiagra,Road - Endurance Road - Aluminum,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Endurance Road,Aluminum
73,15,3,2011-01-25,65,3,3200,9600,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Cross Country Race,Aluminum
74,15,4,2011-01-25,5,1,4260,4260,Supersix Evo Hi-Mod Utegra,Road - Elite Road - Carbon,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Carbon
75,15,5,2011-01-25,19,1,1250,1250,CAAD8 Tiagra,Road - Elite Road - Aluminum,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Aluminum
76,15,6,2011-01-25,84,2,4480,8960,Habit Carbon SE,Mountain - Trail - Carbon,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Trail,Carbon
77,15,7,2011-01-25,90,1,1350,1350,Trail 2,Mountain - Sport - Aluminum,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Sport,Aluminum
78,15,8,2011-01-25,16,1,1950,1950,CAAD12 Disc 105,Road - Elite Road - Aluminum,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Aluminum
79,15,9,2011-01-25,1,1,12790,12790,Supersix Evo Black Inc.,Road - Elite Road - Carbon,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Carbon
80,15,10,2011-01-25,88,1,1950,1950,Habit 6,Mountain - Trail - Aluminum,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Trail,Aluminum
81,15,11,2011-01-25,44,1,2450,2450,SuperX Ultegra,Road - Cyclocross - Carbon,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Cyclocross,Carbon
82,15,12,2011-01-25,22,2,9590,19180,Synapse Hi-Mod Disc Black Inc.,Road - Endurance Road - Carbon,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Endurance Road,Carbon
83,16,1,2011-01-25,73,4,1840,7360,F-Si 3,Mountain - Cross Country Race - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum
84,16,2,2011-01-25,91,1,1080,1080,Trail 3,Mountain - Sport - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum
85,16,3,2011-01-25,95,1,585,585,Catalyst 2,Mountain - Sport - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum
86,16,4,2011-01-25,94,1,705,705,Catalyst 1,Mountain - Sport - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum
87,16,5,2011-01-25,3,1,7990,7990,Supersix Evo Hi-Mod Dura Ace 1,Road - Elite Road - Carbon,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon
88,16,6,2011-01-25,72,1,2060,2060,F-Si 2,Mountain - Cross Country Race - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum
89,16,7,2011-01-25,65,1,3200,3200,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum
90,16,8,2011-01-25,49,2,3840,7680,Jekyll Carbon 3,Mountain - Over Mountain - Carbon,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Over Mountain,Carbon
91,17,1,2011-01-26,38,1,7000,7000,Slice Hi-Mod Black Inc.,Road - Triathalon - Carbon,Cincinnati Speed,"Cincinnati, OH",Road,Triathalon,Carbon
92,18,1,2011-01-28,21,1,815,815,CAAD8 Claris,Road - Elite Road - Aluminum,Denver Bike Shop,"Denver, CO",Road,Elite Road,Aluminum
93,18,2,2011-01-28,64,1,4260,4260,Scalpel 29 Carbon 3,Mountain - Cross Country Race - Carbon,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Carbon
94,19,1,2011-01-28,66,2,11190,22380,F-Si Black Inc.,Mountain - Cross Country Race - Carbon,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Carbon
95,19,2,2011-01-28,61,1,3200,3200,Scalpel-Si 5,Mountain - Cross Country Race - Aluminum,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Aluminum
96,20,1,2011-01-28,9,1,2240,2240,Supersix Evo 105,Road - Elite Road - Carbon,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Carbon
97,20,2,2011-01-28,14,1,2660,2660,CAAD Disc Ultegra,Road - Elite Road - Aluminum,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Aluminum
98,20,3,2011-01-28,50,1,3200,3200,Jekyll Carbon 4,Mountain - Over Mountain - Carbon,Kansas City 29ers,"Kansas City, KS",Mountain,Over Mountain,Carbon
99,20,4,2011-01-28,85,1,3730,3730,Habit Carbon 3,Mountain - Trail - Carbon,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Carbon
100,20,5,2011-01-28,16,1,1950,1950,CAAD12 Disc 105,Road - Elite Road - Aluminum,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Aluminum
101,20,6,2011-01-28,27,1,3730,3730,Synapse Carbon Disc Ultegra,Road - Endurance Road - Carbon,Kansas City 29ers,"Kansas City, KS",Road,Endurance Road,Carbon
102,20,7,2011-01-28,79,1,3200,3200,Bad Habit 1,Mountain - Trail - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum
103,20,8,2011-01-28,78,1,1620,1620,Beast of the East 3,Mountain - Trail - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum
104,20,9,2011-01-28,77,1,2130,2130,Beast of the East 2,Mountain - Trail - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum
105,21,1,2011-02-01,51,1,8200,8200,Trigger Carbon 1,Mountain - Over Mountain - Carbon,Las Vegas Cycles,"Las Vegas, NV",Mountain,Over Mountain,Carbon
106,21,2,2011-02-01,3,4,7990,31960,Supersix Evo Hi-Mod Dura Ace 1,Road - Elite Road - Carbon,Las Vegas Cycles,"Las Vegas, NV",Road,Elite Road,Carbon
107,21,3,2011-02-01,61,1,3200,3200,Scalpel-Si 5,Mountain - Cross Country Race - Aluminum,Las Vegas Cycles,"Las Vegas, NV",Mountain,Cross Country Race,Aluminum
108,21,4,2011-02-01,26,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road - Endurance Road - Carbon,Las Vegas Cycles,"Las Vegas, NV",Road,Endurance Road,Carbon
109,21,5,2011-02-01,65,1,3200,3200,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,Las Vegas Cycles,"Las Vegas, NV",Mountain,Cross Country Race,Aluminum
110,22,1,2011-02-01,33,2,2130,4260,Synapse Disc Adventure,Road - Endurance Road - Aluminum,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Aluminum
111,22,2,2011-02-01,36,1,1030,1030,Synapse Sora,Road - Endurance Road - Aluminum,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Aluminum
112,22,3,2011-02-01,74,1,3730,3730,Fat CAAD1,Mountain - Fat Bike - Aluminum,Seattle Race Equipment,"Seattle, WA",Mountain,Fat Bike,Aluminum
113,22,4,2011-02-01,37,1,870,870,Synapse Claris,Road - Endurance Road - Aluminum,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Aluminum
114,22,5,2011-02-01,87,3,2340,7020,Habit 5,Mountain - Trail - Aluminum,Seattle Race Equipment,"Seattle, WA",Mountain,Trail,Aluminum
115,22,6,2011-02-01,24,1,5860,5860,Synapse Hi-Mod Dura Ace,Road - Endurance Road - Carbon,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Carbon
116,22,7,2011-02-01,43,2,3500,7000,SuperX Hi-Mod CX1,Road - Cyclocross - Carbon,Seattle Race Equipment,"Seattle, WA",Road,Cyclocross,Carbon
117,22,8,2011-02-01,79,1,3200,3200,Bad Habit 1,Mountain - Trail - Aluminum,Seattle Race Equipment,"Seattle, WA",Mountain,Trail,Aluminum
118,22,9,2011-02-01,28,1,3200,3200,Synapse Carbon Ultegra 3,Road - Endurance Road - Carbon,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Carbon
119,22,10,2011-02-01,10,2,1840,3680,Supersix Evo Tiagra,Road - Elite Road - Carbon,Seattle Race Equipment,"Seattle, WA",Road,Elite Road,Carbon
120,23,1,2011-02-04,48,1,6070,6070,Jekyll Carbon 2,Mountain - Over Mountain - Carbon,Denver Bike Shop,"Denver, CO",Mountain,Over Mountain,Carbon
121,23,2,2011-02-04,71,1,2340,2340,F-Si 1,Mountain - Cross Country Race - Aluminum,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Aluminum
122,23,3,2011-02-04,92,1,980,980,Trail 4,Mountain - Sport - Aluminum,Denver Bike Shop,"Denver, CO",Mountain,Sport,Aluminum
123,23,4,2011-02-04,30,1,2660,2660,Synapse Carbon Disc 105,Road - Endurance Road - Carbon,Denver Bike Shop,"Denver, CO",Road,Endurance Road,Carbon
124,23,5,2011-02-04,42,1,1950,1950,Slice 105,Road - Triathalon - Carbon,Denver Bike Shop,"Denver, CO",Road,Triathalon,Carbon
125,24,1,2011-02-07,40,1,3200,3200,Slice Ultegra D12,Road - Triathalon - Carbon,Ann Arbor Speed,"Ann Arbor, MI",Road,Triathalon,Carbon
126,24,2,2011-02-07,29,7,2660,18620,Synapse Carbon Ultegra 4,Road - Endurance Road - Carbon,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Carbon
127,24,3,2011-02-07,2,3,10660,31980,Supersix Evo Hi-Mod Team,Road - Elite Road - Carbon,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Carbon
128,24,4,2011-02-07,37,1,870,870,Synapse Claris,Road - Endurance Road - Aluminum,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Aluminum
129,24,5,2011-02-07,6,1,3940,3940,Supersix Evo Red,Road - Elite Road - Carbon,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Carbon
130,24,6,2011-02-07,73,1,1840,1840,F-Si 3,Mountain - Cross Country Race - Aluminum,Ann Arbor Speed,"Ann Arbor, MI",Mountain,Cross Country Race,Aluminum
131,24,7,2011-02-07,42,2,1950,3900,Slice 105,Road - Triathalon - Carbon,Ann Arbor Speed,"Ann Arbor, MI",Road,Triathalon,Carbon
132,24,8,2011-02-07,97,1,415,415,Catalyst 4,Mountain - Sport - Aluminum,Ann Arbor Speed,"Ann Arbor, MI",Mountain,Sport,Aluminum
133,24,9,2011-02-07,92,1,980,980,Trail 4,Mountain - Sport - Aluminum,Ann Arbor Speed,"Ann Arbor, MI",Mountain,Sport,Aluminum
134,24,10,2011-02-07,18,1,1410,1410,CAAD8 105,Road - Elite Road - Aluminum,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Aluminum
135,24,11,2011-02-07,12,1,4260,4260,CAAD12 Disc Dura Ace,Road - Elite Road - Aluminum,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Aluminum
136,25,1,2011-02-07,16,1,1950,1950,CAAD12 Disc 105,Road - Elite Road - Aluminum,Albuquerque Cycles,"Albuquerque, NM",Road,Elite Road,Aluminum
137,25,2,2011-02-07,13,1,3200,3200,CAAD12 Red,Road - Elite Road - Aluminum,Albuquerque Cycles,"Albuquerque, NM",Road,Elite Road,Aluminum
138,25,3,2011-02-07,71,1,2340,2340,F-Si 1,Mountain - Cross Country Race - Aluminum,Albuquerque Cycles,"Albuquerque, NM",Mountain,Cross Country Race,Aluminum
139,26,1,2011-02-09,13,1,3200,3200,CAAD12 Red,Road - Elite Road - Aluminum,Columbus Race Equipment,"Columbus, OH",Road,Elite Road,Aluminum
140,27,1,2011-02-10,8,1,2660,2660,Supersix Evo Ultegra 4,Road - Elite Road - Carbon,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Carbon
141,27,2,2011-02-10,79,1,3200,3200,Bad Habit 1,Mountain - Trail - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum
142,27,3,2011-02-10,20,1,1030,1030,CAAD8 Sora,Road - Elite Road - Aluminum,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Aluminum
143,27,4,2011-02-10,92,2,980,1960,Trail 4,Mountain - Sport - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Sport,Aluminum
144,27,5,2011-02-10,71,1,2340,2340,F-Si 1,Mountain - Cross Country Race - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Cross Country Race,Aluminum
145,27,6,2011-02-10,70,1,2880,2880,F-Si Carbon 4,Mountain - Cross Country Race - Carbon,Kansas City 29ers,"Kansas City, KS",Mountain,Cross Country Race,Carbon
146,27,7,2011-02-10,78,3,1620,4860,Beast of the East 3,Mountain - Trail - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum
147,27,8,2011-02-10,89,1,1520,1520,Trail 1,Mountain - Sport - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Sport,Aluminum
148,27,9,2011-02-10,80,1,2660,2660,Bad Habit 2,Mountain - Trail - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum
149,27,10,2011-02-10,61,1,3200,3200,Scalpel-Si 5,Mountain - Cross Country Race - Aluminum,Kansas City 29ers,"Kansas City, KS",Mountain,Cross Country Race,Aluminum
150,27,11,2011-02-10,69,1,4800,4800,F-Si Carbon 2,Mountain - Cross Country Race - Carbon,Kansas City 29ers,"Kansas City, KS",Mountain,Cross Country Race,Carbon
151,27,12,2011-02-10,40,2,3200,6400,Slice Ultegra D12,Road - Triathalon - Carbon,Kansas City 29ers,"Kansas City, KS",Road,Triathalon,Carbon
152,28,1,2011-02-10,47,1,7990,7990,Jekyll Carbon 1,Mountain - Over Mountain - Carbon,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Over Mountain,Carbon
153,28,2,2011-02-10,79,1,3200,3200,Bad Habit 1,Mountain - Trail - Aluminum,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Trail,Aluminum
154,28,3,2011-02-10,61,1,3200,3200,Scalpel-Si 5,Mountain - Cross Country Race - Aluminum,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Aluminum
155,28,4,2011-02-10,97,1,415,415,Catalyst 4,Mountain - Sport - Aluminum,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Sport,Aluminum
156,28,5,2011-02-10,66,2,11190,22380,F-Si Black Inc.,Mountain - Cross Country Race - Carbon,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Carbon
157,28,6,2011-02-10,5,1,4260,4260,Supersix Evo Hi-Mod Utegra,Road - Elite Road - Carbon,Ithaca Mountain Climbers,"Ithaca, NY",Road,Elite Road,Carbon
